grantee,summary,grant,icnaming,type
,,,dfinity,reserved
,,,ic,reserved
,,,icnaming,reserved
,,,internetcomputer,reserved
Aedile,Project management dapp,25000.0,aedile,grant
Agryo,Global risk intelligence for agriculture,25000.0,agryo,grant
AstroX,"Dart developer tools and ""mini apps"" framework",25000.0,astrox,grant
B9 Labs,Developer onboarding documentation,25000.0,b9labs,grant
Bauction,Decentralized and transparent auction platform,25000.0,bauction,grant
Bebenture,Decentralized derivatives issuance and transaction protocol,5000.0,bebenture,grant
Blockchain at Berkeley,DAO prototype that allows participants to nominate developers for grant funding,25000.0,berkeley,grant
Blocks,Visual editor for Motoko with 3D and gaming elements,25000.0,blocks,grant
BlueBird,On chain transformation of user generated rich media content,25000.0,bluebird,grant
CHAIN-CLOUD,Dapp to auto-deploy and manage canisters,25000.0,chaincloud,grant
Canlista,"Canister directory to find, publish, and extend applications with the goal of aiding in composability",25000.0,canlista,grant
ChainIDE,Motoko IDE with sample dapps,25000.0,chainide,grant
Checkrr,Decentralized fact checking protocol,25000.0,checkrr,grant
Civol,"Asynchronous video conversation platform enabling decentralized discourse, debate, and collective decision-making",25000.0,civol,grant
Content Fly,Content marketplace connecting high quality creators with brands,25000.0,contentfly,grant
Cosmicrafts,Multiplayer HTML5/WebGL game with NFTs,25000.0,cosmicrafts,grant
CrowdRecords.com,Decentralized economy for creating music,5000.0,crowdrecords,grant
DFinance,Foundational DeFi components for the Internet Computer,25000.0,dfinance,grant
DWS (Dfinity Web Services),Data management tools for developers,5000.0,dws,grant
Data App Development Platform,Low code platform that enables engineering teams build data apps and workflows,25000.0,dadp,grant
DeckDeckGo,Open source tools for creating presentations on the Internet Computer,25000.0,deckdeckgo,grant
DeckDeckGo (Follow-On),Additional features and full migration to the IC,25000.0,"",grant
Deland,Fungible Token Standard and DeFi components,5000.0,deland,grant
DevNull,Social platform for software developers,5000.0,devnull,grant
DfinityNFT,NFT standard with metadata focus,5000.0,dfinitynft,grant
Difibase,"""Database"" solution for the Internet Computer",5000.0,difibase,grant
DooCoins,A task-based rewards platform for kids,5000.0,doocoins,grant
Earth Wallet,Security audit support for non-custodial wallet,25000.0,earthwallet,grant
Economia ,Incentive protocol that allows users to leverage their social networks to complete and monetize tasks,5000.0,economia,grant
Eria,CoreWeave API for generative art on the IC,5000.0,eria,grant
Exponent,EXT Token Standard and DEX prototype,25000.0,exponent,grant
Freeos,Proton <> Internet Computer integration and oracle prototype,25000.0,freeos,grant
Gauzs,Social network for academics,25000.0,gauzs,grant
GoBazzinga,Challenge-based social spectulation platform,25000.0,gobazzinga,grant
Golang Developer Tools,Candid implementation and Golang agent,25000.0,,grant
IC Drive,Decentralized file storage and sharing,25000.0,icdrive,grant
