name,owner,years
sourceforge.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
theguardian.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
virginmedia.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
hugedomains.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
list-manage.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
independent.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
dailymotion.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
themeforest.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
statcounter.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
kickstarter.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
livejournal.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
stumbleupon.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
theatlantic.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
tripadvisor.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
squarespace.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
tandfonline.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
photobucket.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
marketwatch.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
fastcompany.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
oliveogrill.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
doubleclick.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
arstechnica.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
bizjournals.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
nydailynews.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
gotowebinar.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
livescience.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
venturebeat.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
pewresearch.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
timeanddate.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
jamanetwork.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
theregister.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
bostonglobe.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
playstation.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
khanacademy.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
woocommerce.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
accuweather.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
readthedocs.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
foodnetwork.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
mercurynews.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
fontawesome.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
miamiherald.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
frontiersin.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
oregonstate.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
squid-cache.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
startribune.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
medlineplus.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
timesonline.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
istockphoto.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
foxbusiness.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
gettyimages.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
sputniknews.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
linksynergy.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
ycombinator.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
raspberrypi.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
counterpane.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
googlepages.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
rsasecurity.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
pewinternet.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
advertising.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
modsecurity.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
motherjones.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
serverwatch.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
mentalfloss.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
apachetutor.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
letsencrypt.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
apachetoday.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
imagemagick.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
domaintools.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
gotomeeting.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
brainyquote.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
accorhotels.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
medicinenet.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
studiopress.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
legislation.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
livechatinc.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
thenational.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
ahajournals.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
catchthemes.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
cyberpolice.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
newrepublic.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
sfchronicle.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
speakerdeck.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
fourseasons.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
