name,operation,key,value
sourceforge.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
theguardian.ic,InsertOrIgnore,account_id.icp,4c72605e2e8f9bf3ee54e132bff59027179b64de72bfed494e1bab9019526db3
virginmedia.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
hugedomains.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
list-manage.ic,InsertOrIgnore,account_id.icp,d5db04e6e0c692f718b054f740df0972b8e5d4d96f6d6cb780e921203920b9d0
independent.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
dailymotion.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
themeforest.ic,InsertOrIgnore,account_id.icp,4d46cf93a931cd8757cd379622ab455ed5b5a2c6d74f154256dc715869d73078
statcounter.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
kickstarter.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
livejournal.ic,InsertOrIgnore,account_id.icp,aff1b17f2a5aca1bd89aa495fb553137c614dd9d9bbc8b1a8bad44bb5ce63d82
stumbleupon.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
theatlantic.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
tripadvisor.ic,InsertOrIgnore,account_id.icp,cb0b3ca78d2e3bac56eed73b7498f2ff299f9235bc4bc7110db62941fb953cbc
squarespace.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
tandfonline.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
photobucket.ic,InsertOrIgnore,account_id.icp,59fc1e96143f0464899f5689dd0fb03d205c3de949ef6e42f614d6213f2b22b4
marketwatch.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
fastcompany.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
oliveogrill.ic,InsertOrIgnore,account_id.icp,c63c4b3bbdcf9300ce4e3d106a2f29302a456af593e3ff22efe8f43d37799c42
doubleclick.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
arstechnica.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
bizjournals.ic,InsertOrIgnore,account_id.icp,657f3c6853e6e94aec24b9f902d8447a5e6c5849798cf98a7c271bfd1a406919
nydailynews.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
gotowebinar.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
livescience.ic,InsertOrIgnore,account_id.icp,8c6cbd2a214bb921141a811096ff9f9977a1733f2402922dc5a8f6a629ccbb88
venturebeat.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
pewresearch.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
timeanddate.ic,InsertOrIgnore,account_id.icp,b9d19ad9719de00d134baaf7af4a54634f0520d6717abffcc671935efe297f82
jamanetwork.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
theregister.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
bostonglobe.ic,InsertOrIgnore,account_id.icp,fbe15547a1435164db8ef1899ab1fca5504dfa8f69664c788b7fad49410f4744
playstation.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
khanacademy.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
woocommerce.ic,InsertOrIgnore,account_id.icp,b134d5ccdf5cbcbf7bbe79dfafd28eaaf9bb20198159bb442ec0973b59f9404c
accuweather.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
readthedocs.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
foodnetwork.ic,InsertOrIgnore,account_id.icp,2f551b00eceded476bad0624f39a892af4dbcd0af662fdd730118eaf34f942b5
mercurynews.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
fontawesome.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
miamiherald.ic,InsertOrIgnore,account_id.icp,fb5cba1a923ce7d2ec913bb59642932b25a4ea3259b9e1328b00f05f72f395ea
frontiersin.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
oregonstate.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
squid-cache.ic,InsertOrIgnore,account_id.icp,e2e2f912d31ff2d9c02f76db6e4129641cf905e002f42c78384df57e0f2ca7e9
startribune.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
medlineplus.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
timesonline.ic,InsertOrIgnore,account_id.icp,92c5766efe22fea782227556ac9f33c3e35efa4a41b362de1fb77479a6189b91
istockphoto.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
foxbusiness.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
gettyimages.ic,InsertOrIgnore,account_id.icp,4a8df71f92bdf8359daff30d8e55ce6092f24ac27b79742eb753e45547926033
sputniknews.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
linksynergy.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
ycombinator.ic,InsertOrIgnore,account_id.icp,6c5acda21fa2b9df040e7a6d39609520fe9c029e6b61ab4411ebda0e1ac4f36e
raspberrypi.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
counterpane.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
googlepages.ic,InsertOrIgnore,account_id.icp,e61319d062a10d6fe582afdb509436a6b8360bcefa6355f665737433e66f9051
rsasecurity.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
pewinternet.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
advertising.ic,InsertOrIgnore,account_id.icp,6a3839314d800f5a10006f5c35f17799a951fb920532add1c164939c81de6409
modsecurity.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
motherjones.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
serverwatch.ic,InsertOrIgnore,account_id.icp,23dcc04882f3bb98d8f46f3116e9f61c642b6e3073a2bbc76f71dad87b077202
mentalfloss.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
apachetutor.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
letsencrypt.ic,InsertOrIgnore,account_id.icp,57ad89a193cddb6814ac5ee3ac49345bf3b5e9c797741b33a924e941c20caa15
apachetoday.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
imagemagick.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
domaintools.ic,InsertOrIgnore,account_id.icp,f62efd42710efb33efaa66a2b997dde179a7ab6eabe9dc097172d46b0ff1b88c
gotomeeting.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
brainyquote.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
accorhotels.ic,InsertOrIgnore,account_id.icp,5afb894f000aea31a3a6ccf1f13bd4a860d6be80043266b1e35263b2d7a954e0
medicinenet.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
studiopress.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
legislation.ic,InsertOrIgnore,account_id.icp,8b572dc9382f800dee562311464ac3932249f172d6e9e0f28953aa3bdd08f79d
livechatinc.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
thenational.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
ahajournals.ic,InsertOrIgnore,account_id.icp,d366746856961458de9ef570ee599a723b70c952acf748bab13304ff5a2b5321
catchthemes.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
cyberpolice.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
newrepublic.ic,InsertOrIgnore,account_id.icp,2155986a7367f423dbf07440b495e4ec62256721e8c0bc0d8780bf743c943470
sfchronicle.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
speakerdeck.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
fourseasons.ic,InsertOrIgnore,account_id.icp,b6a2beaed12a3b9fd9afb6dd6bed10fcf9449ba7b2b9cc400a3549c84045c8b1
extremetech.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
pressreader.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
detroitnews.ic,InsertOrIgnore,account_id.icp,dc7acdde6dcd5c48cbe89f9344e4fc8e0dcbb22ce59ea32877840153338c136b
americanbar.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
getcomposer.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
thingiverse.ic,InsertOrIgnore,account_id.icp,cb4b3fcd2746d14af24e10a5f10cab8e96b492798a7ca9c8daab272d7737a24c
cheezburger.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
webcindario.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
govdelivery.ic,InsertOrIgnore,account_id.icp,7c9a1b66379fe6daad8ef6a5704345f11bca4f65da1b35cacda3567653c299c2
libreoffice.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
payforessay.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
fortunecity.ic,InsertOrIgnore,account_id.icp,6678e55cbaea1099914cecd9f42fb750c1245e135afaf65472fd6f951341ab04
naturalnews.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
dailycaller.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
andersnoren.ic,InsertOrIgnore,account_id.icp,559ef601541d04217163de797f547c070d957fdf41063c4b078e3b301d80c9d1
lightwidget.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
codeproject.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
grademiners.ic,InsertOrIgnore,account_id.icp,0f5482283e0e8cd651e4eb3ea040e3651753c6e0cd357aeb958d29ccbc124bc8
ritzcarlton.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
globaltimes.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
kissmetrics.ic,InsertOrIgnore,account_id.icp,b70aa270f5d70a070ea0320307b28beed33147838800956314ac25953fa6570c
morningstar.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
